HCH_013_066_000000	神宗萬曆二十一年二月，京察竣。
HCH_013_066_000559	八月，以薛國觀為禮部左侍郎兼東閣大學士。
HCH_013_066_000560	十月，定東宮官屬。
HCH_013_066_000561	右諭德項煜、編修楊廷麟讓左諭德黃道周。
HCH_013_066_000562	閣臣以道周意見偏，上疏有「不如鄭鄤」之語。
HCH_013_066_000563	寢之。
HCH_013_066_000564	刑科給事中馮元飈言：「道周忠足以動聖鑒，而不能得執政之心，恐天下後世有以議閣臣之得失也。」
HCH_013_066_000565	不聽。
HCH_013_066_000566	已而道周疏劾楊嗣昌奪情，謫外。
HCH_013_066_000567	十一年八月，南京戶科給事張焜芳論前巡鹽兩淮御史史𡎊侵帑三十餘萬。
HCH_013_066_000568	命逮𡎊下刑部。
HCH_013_066_000569	先是，巡鹽御史張錫命憂去，遺課二十一萬。
HCH_013_066_000570	𡎊攝事，盡入其家。
HCH_013_066_000571	檢討楊士聰攻之，𡎊諉橐錫命。
HCH_013_066_000572	時錫命前卒，子沆奏辨，大學士錢士升擬旨罪𡎊。
HCH_013_066_000573	王應熊曰：「史太僕大有才，未易攖也。」
HCH_013_066_000574	擬上，上果不聽。
HCH_013_066_000575	至是，𡎊復奏辨，又發張焜芳朋黨狀，焜芳奪官。
HCH_013_066_000576	十二年六月，以左懋第、袁愷、陰潤、藺剛中、范士髦為給事中，詹時雨、李近右、汪承詔、張緒論、楊四重為試監察御史，吳昌時等並各部主事。
HCH_013_066_000577	昌時首選吏部。
HCH_013_066_000578	疏上，上自手定先後，示不測。
HCH_013_066_000579	昌時謂薛國觀所為，恨之。
HCH_013_066_000580	八月，故庶吉士鄭鄤磔於市。
HCH_013_066_000581	先是，中書舍人許曦訐奏鄤不孝瀆倫，與溫體仁疏合。
HCH_013_066_000582	法司定罪擬辟，上命加等。
HCH_013_066_000583	鄤初選庶吉士，有直諫聲，文震孟、黃道周皆與之遊。
HCH_013_066_000584	當時欲借鄤以傾震孟、道周，讞駁逾重。
HCH_013_066_000585	而鄤居鄉多不法，遂罹慘禍。
HCH_013_066_000586	十三年夏四月，巡撫江西右僉都御史解學龍，薦舉布政司都事黃道周。
HCH_013_066_000587	上以道周黨邪亂政，學龍徇私，俱逮下理，廷杖論戍。
HCH_013_066_000588	戶部主事葉廷秀請寬之，併杖削籍。
HCH_013_066_000589	監生涂仲吉上言：「黃道周通籍二十載，半居墳廬。稽古著書，一生學力，止知君親。雖言嘗過戇，而志實忠純。今喘息僅存，猶讀書不倦。此臣不為道周惜，而為皇上天下萬世惜也。昔唐太宗恨魏徵之面折，至欲殺而終不果。漢武帝惡汲黯之直諫，雖遠出而實優容。皇上欲遠法堯、舜，奈何出漢、唐主下！斷不宜以黨人輕議學行才品之臣也。」
HCH_013_066_000590	通政司格之不上，仲吉并劾通政使施邦曜遏抑言路，再救道周。
HCH_013_066_000591	上怒，下獄杖之，論戍。
HCH_013_066_000592	六月，大學士薛國觀免。
HCH_013_066_000593	初，國觀以溫體仁援，得入閣。
HCH_013_066_000594	同官六人皆罷，獨國觀秉政至首輔，上頗向用之。
HCH_013_066_000595	至是，因擬諭失旨，下五府、九卿議處致仕。
HCH_013_066_000596	刑科給事中袁愷再疏劾之，言：「國觀納賄有據。」
HCH_013_066_000597	并及尚書傅永淳、侍郎蔡奕琛等。
HCH_013_066_000598	遂下鎮撫司訊。
HCH_013_066_000599	初，上召國觀，語及朝士婪賄。
HCH_013_066_000600	對曰：「使廠、衞得人，朝士何敢黷貨！」
HCH_013_066_000601	東廠太監王化民在側，汗出浹背。
HCH_013_066_000602	於是專偵其陰事，以及於敗。
HCH_013_066_000603	國觀既削籍，吏部尚書傅永淳、南京吏部尚書朱繼祚並免。
HCH_013_066_000604	下左副都御史葉有聲於獄，以通賄國觀也。
HCH_013_066_000605	時株連頗衆。
HCH_013_066_000606	十二月，國觀奏辨。
HCH_013_066_000607	不聽，命入京即訊。
HCH_013_066_000608	十四年春正月，故大學士薛國觀奏辨刑科給事中袁愷誣劾，出於禮部主事吳昌時之意。
HCH_013_066_000609	上不聽。
HCH_013_066_000610	夏四月，召前大學士周延儒、張至發、賀逢聖入朝。
HCH_013_066_000611	至發辭不出，逢聖不久以病歸。
HCH_013_066_000612	初，延儒既罷，丹陽監生賀順、虞城侯氏，共斂金，屬太監曹化淳等營復相。
HCH_013_066_000613	至是，得召用，主事吳昌時之力居多，延儒德之。
HCH_013_066_000614	六月，故刑部右侍郎蔡奕琛在繫上言：「去夏六月，同邑諸生倪襄，贄於庶吉士張溥之門，歸語知縣丁煌，誇溥大力，可立致人禍福，因言及臣旦夕必逮。未幾，而王陛彥果劾臣矣。一里居庶常，結黨昭權，陰握黜陟之柄，豈不異哉！」
HCH_013_066_000615	上令丁煌指證，下倪襄於獄。
HCH_013_066_000616	既而奕琛亦劾張溥，并及故禮部侍郎錢謙益。
HCH_013_066_000617	八月辛亥，故大學士薛國觀賜死，誅中書舍人王陛彥，各籍其家。
HCH_013_066_000618	初，國觀以王陛彥通賂免官，命伺其邸，則王陛彥至，執下獄。
HCH_013_066_000619	陛彥為吳昌時甥，臨刑呼曰：「此舅氏所作，我若有言，即累名教矣。」
HCH_013_066_000620	時國觀事發於東廠，僉云昌時實啓其機。
HCH_013_066_000621	十二月甲子，戍黃道周、解學龍。
HCH_013_066_000622	初，刑部尚書劉澤深擬道周瘴戍，再奏不允。
HCH_013_066_000623	因上言：「道周之罪，前兩疏已嚴矣。至此，惟有論死。死生之際，臣不敢不慎也。自來論死諸臣，非封疆則貪酷，未有以建言誅者。今以此加道周，道周無封疆貪酷之失，而有建言蒙戮之名。於道周得矣，非我皇上覆載之量也。且皇上所疑者黨耳，黨者見諸行事。道周具疏空言，一二臣工，始未嘗不相與也。今且短之，繼而斥之，烏有所謂黨，而煩朝廷之大法耶！去年行刑時，忽奉旨停免。今皇上豈有積恨於道周，萬一轉圜動念，而臣已論定，噬臍何及？敢仍以原擬上。」
HCH_013_066_000624	上從之。
HCH_013_066_000625	十五年夏四月，宥馬士英，起兵部左侍郎兼右僉都御史，提督鳳陽。
HCH_013_066_000626	士英初撫宣大，以總監王坤論罪。
HCH_013_066_000627	至是，故太常少卿阮大鋮為營救，得起用。
HCH_013_066_000628	八月，召還黃道周，仍任少詹事。
HCH_013_066_000629	時周延儒承上眷最深，凡上怒莫能回，延儒能談言微中。
HCH_013_066_000630	先是，道周在獄，人謂必不可救。
HCH_013_066_000631	延儒以微詞解之，得減放。
HCH_013_066_000632	至是，上偶言及岳飛事，歎曰：「安得將如岳飛者而用之？」
HCH_013_066_000633	延儒曰：「岳飛自是名將。然其破金人事，史或多溢辭。即如黃道周之為人，傳之史册，不免曰其不用也，天下惜之。」
HCH_013_066_000634	上默然。
HCH_013_066_000635	甫還宮，即傳旨復官。
HCH_013_066_000636	十六年三月，改禮部儀制主事吳昌時為吏部文選主事，署郎中事。
HCH_013_066_000637	昌時好結納，通司禮太監王化民等，欲轉銓司。
HCH_013_066_000638	吏部尚書鄭三俊嘗以問鄉人徐石麒，答曰：「君子也。」
HCH_013_066_000639	三俊遂薦於上。
HCH_013_066_000640	蓋石麒畏昌時機深，故譽之，而三俊不知。
HCH_013_066_000641	例轉給事中范士髦等四人，御史陳藎等六人。
HCH_013_066_000642	故事，例轉科一道二，文選主事吳昌時特廣其數，意脅臺、省，為驅除地也。
HCH_013_066_000643	夏四月，河南道御史祁彪佳劾吳昌時紊制弄權。
HCH_013_066_000644	山東道御史徐殿臣、賀登選各疏參之。
HCH_013_066_000645	五月，吏部尚書鄭三俊以薦吳昌時引咎罷，大學士周延儒放歸。
HCH_013_066_000646	給事中郝絅復劾吏部郎中吳昌時、禮部郎中周仲璉「竊權附勢，納賄行私。內閣票擬機密，每事先知。總之，延儒天下之罪人，而昌時、仲璉又延儒之罪人」。
HCH_013_066_000647	御史蔣拱宸、何綸交劾之。
HCH_013_066_000648	七月乙卯，上自訊昌時於中左門，拷掠至折脛乃止。
HCH_013_066_000649	徵延儒聽勘，延儒先薦大學士王應熊，途中密語，令先抵京。
HCH_013_066_000650	上遣緹騎趨延儒入，偵知之。
HCH_013_066_000651	罷應熊，尋誅昌時，賜延儒死。
HCH_013_066_000652	初，延儒再召時，庶吉士張溥、馬世奇以公論感動之，故其所舉措，盡反前事。
HCH_013_066_000653	向之所排，更援而進之，上亦虛己以聽。
HCH_013_066_000654	溥既沒，世奇遠權勢不入都。
HCH_013_066_000655	延儒左右，皆昌時輩，以至於敗。
